file,group,index,id,type,title,tooltip,text,region,place,coordinates,image,switchTo,flyTo,flyToId
js/markers.js,portals,3,"""""",overworld_portal_lsp,Portal to Lotor's Summer Palace,Portal to Lotor's Summer Palace,"""""",Silvest Valley,Silvest,"{""x"":999,""y"":1337}","""""",overworld,"{""x"":810,""y"":643,""zoom"":6}",""""""
js/markers.js,undergrounds,0,"""""",overworld_dungeon,Frump's Lair,Frump's Lair,"""""",Valinor,Valinor,"{""x"":608,""y"":358}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,1,"""""",overworld_dungeon,Bonesnarl's Lair,Bonesnarl's Lair,"""""",Valinor,Valinor,"{""x"":874,""y"":310}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,2,"""""",overworld_stairs,Stairs to Valinor Basement,Stairs to Valinor Basement (Top Left),"""""",Valinor,Valinor,"{""x"":753,""y"":98}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,3,"""""",overworld_stairs,Stairs to Valinor Basement,Stairs to Valinor Basement (Top Right),"""""",Valinor,Valinor,"{""x"":765,""y"":98}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,4,"""""",overworld_stairs,Stairs to Valinor Basement,Stairs to Valinor Basement (Bottom Left),"""""",Valinor,Valinor,"{""x"":752,""y"":128}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,5,"""""",overworld_stairs,Stairs to Valinor Basement,Stairs to Valinor Basement (Bottom Right),"""""",Valinor,Valinor,"{""x"":766,""y"":128}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,6,"""""",overworld_ladder,Ladder to Valinor Basement,Ladder to Valinor Basement (Left),"""""",Valinor,Valinor,"{""x"":750,""y"":155}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,7,"""""",overworld_ladder,Ladder to Valinor Basement,Ladder to Valinor Basement (Right),"""""",Valinor,Valinor,"{""x"":768,""y"":155}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,8,"""""",overworld_stairs,Stairs to Mage Trainers,Stairs to Mage Trainers,"""""",Valinor,Valinor,"{""x"":763,""y"":118}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,9,"""""",overworld_ladder,Book 2 Temple Entrance,Book 2 Temple Entrance,"""""",Krythan,Hothbra,"{""x"":520,""y"":1064}","""""",underground,"{""x"":520,""y"":1064}",""""""
js/markers.js,undergrounds,10,"""""",overworld_ladder,Jeel Catacombs,Jeel Catacombs,"""""",Krythan,Jeel,"{""x"":294,""y"":834}","""""",underground,"{""x"":294,""y"":834}",""""""
js/markers.js,undergrounds,11,"""""",overworld_ladder,Crypt of Kargoth,Crypt of Kargoth Entrance,"""""",Krythan,Crypt of Kargoth,"{""x"":436,""y"":852}","""""",underground,"{""x"":436,""y"":852}",""""""
js/markers.js,undergrounds,12,"""""",overworld_stairs,Lotor's Castle Arena Basement,Lotor's Castle Arena Basement,"""""",Krythan,Lotor's Castle,"{""x"":215,""y"":1183}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,13,"""""",overworld_stairs,Lotor's Castle Arena Basement,Lotor's Castle Arena Basement,"""""",Krythan,Lotor's Castle,"{""x"":213,""y"":1183}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,14,"""""",overworld_mine,Silvest Mines Entrance,Silvest Mines Entrance,"""""",Silvest Valley,Silvest Mines,"{""x"":1015,""y"":1110}","""""",underground,"{""x"":1007,""y"":1107}",""""""
js/markers.js,undergrounds,15,"""""",overworld_stairs,Cultist Lair Crypt,Cultist Lair Crypt,"""""",Silvest Valley,Cultist Lair Crypt,"{""x"":871,""y"":1392}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,16,"""""",overworld_snake,Snake Pit,Snake Pit,"""""",Silvest Valley,Silvest Valley,"{""x"":966,""y"":1347}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,17,"""""",overworld_mine,Cliffside Mines,Cliffside Mines,"""""",Silvest Valley,Cliffside Pass,"{""x"":1097,""y"":1183}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,18,"""""",overworld_stairs,Coenred's Provisioner Shop Basement,Coenred's Provisioner Shop Basement Entrance,"""""",Silvest Valley,Silvest,"{""x"":1123,""y"":1361}","""""",underground,"{""x"":1132,""y"":1363,""zoom"":6}",""""""
js/markers.js,undergrounds,19,"""""",overworld_stairs,Silvest Library Basement Entrance,Silvest Library Basement Entrance,"""""",Silvest Valley,Silvest,"{""x"":1149,""y"":1362}","""""",underground,"{""x"":1150,""y"":1365,""zoom"":6}",""""""
js/markers.js,undergrounds,20,"""""",overworld_cave,Provisioner's Basement,Galen's Hideout,"""""",Silvest Valley,Galen's Hideout,"{""x"":1304,""y"":1112}","""""",underground,"{""x"":870,""y"":82,""zoom"":6}",""""""
js/markers.js,undergrounds,21,"""""",overworld_cave,Sozal's Cave North Entrance,Sozal's Cave North Entrance,"""""",Silvest Valley,Sozal's Cave,"{""x"":1126,""y"":1155}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,22,"""""",overworld_ladder,Silves Mines Entrance,Silves Mines Entrance,"""""",Silvest Valley,Kozak Cove,"{""x"":1378,""y"":1106}","""""",underground,"{""x"":1368,""y"":1093}",""""""
js/markers.js,undergrounds,23,"""""",overworld_cave,Sozal's Cave,Sozal's Cave,"""""",Silvest Valley,Near Silvest Valley North Coast,"{""x"":1162,""y"":1176}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,24,"""""",overworld_ladder,Kobold Castle Entrance,Silvest Mine Entrance,"""""",Silvest Valley,Kobold Castle,"{""x"":1292,""y"":1122}","""""",underground,"{""x"":1292,""y"":1122}",""""""
js/markers.js,undergrounds,25,"""""",overworld_cave,Dalvon Mines Entrance,Dalvon Mines Entrance,"""""",Silvest Valley,Valley of the Dead,"{""x"":1441,""y"":1398}","""""",underground,"{""x"":1432,""y"":1399}",""""""
js/markers.js,undergrounds,26,"""""",overworld_ladder,Krythan Crypt,Krythan Crypt,"""""",Krythan,Krythan Cemetary,"{""x"":906,""y"":1028}","""""",underground,"{""x"":919,""y"":1031}",""""""
js/markers.js,undergrounds,27,"""""",overworld_ladder,Gideon's Trapdoor,Gideon's Trapdoor,"""""",Krythan,Monk Island,"{""x"":509,""y"":583}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,28,"""""",overworld_ladder,Gideon's Trapdoor,Mirthik's  Passage,"""""",Krythan,Mirthik's  Passage,"{""x"":509,""y"":608}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,29,"""""",overworld_ladder,Mirthik's Passage Entrance,Mirthik's Passage Entrance,"""""",Krythan,Monk Island,"{""x"":504,""y"":643}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,30,"""""",overworld_snake,Snake pit,Snake pit,"""""",Krythan,Krythan Fields,"{""x"":326,""y"":741}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,31,"""""",overworld_ladder,Holendar's Mansion Basement Entrance,Holendar's Mansion Basement Entrance,"""""",Krythan,Krythan Fields,"{""x"":820,""y"":1043}","""""",underground,"{""x"":823,""y"":1047,""zoom"":6}",""""""
js/markers.js,undergrounds,32,"""""",overworld_ladder,Holendar's Mansion Basement Escape Entrance,Holendar's Mansion Basement Escape Entrance,"""""",Krythan,Krythan Fields,"{""x"":875,""y"":1062}","""""",underground,"{""x"":890,""y"":1080,""zoom"":6}",""""""
