file,group,index,id,type,title,tooltip,text,region,place,coordinates,image,switchTo,flyTo,flyToId
js/markers.js,undergrounds,0,"""""",overworld_dungeon,Frump's Lair,Frump's Lair,"""""",Valinor,Valinor,"{""x"":608,""y"":358}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,1,"""""",overworld_dungeon,Bonesnarl's Lair,Bonesnarl's Lair,"""""",Valinor,Valinor,"{""x"":874,""y"":310}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,2,"""""",overworld_stairs,Stairs to Valinor Basement,Stairs to Valinor Basement (Top Left),"""""",Valinor,Valinor,"{""x"":753,""y"":98}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,3,"""""",overworld_stairs,Stairs to Valinor Basement,Stairs to Valinor Basement (Top Right),"""""",Valinor,Valinor,"{""x"":765,""y"":98}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,4,"""""",overworld_stairs,Stairs to Valinor Basement,Stairs to Valinor Basement (Bottom Left),"""""",Valinor,Valinor,"{""x"":752,""y"":128}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,5,"""""",overworld_stairs,Stairs to Valinor Basement,Stairs to Valinor Basement (Bottom Right),"""""",Valinor,Valinor,"{""x"":766,""y"":128}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,6,"""""",overworld_ladder,Ladder to Valinor Basement,Ladder to Valinor Basement (Left),"""""",Valinor,Valinor,"{""x"":750,""y"":155}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,7,"""""",overworld_ladder,Ladder to Valinor Basement,Ladder to Valinor Basement (Right),"""""",Valinor,Valinor,"{""x"":768,""y"":155}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,8,"""""",overworld_stairs,Stairs to Mage Trainers,Stairs to Mage Trainers,"""""",Valinor,Valinor,"{""x"":763,""y"":118}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,12,"""""",overworld_stairs,Lotor's Castle Arena Basement,Lotor's Castle Arena Basement,"""""",Krythan,Lotor's Castle,"{""x"":215,""y"":1183}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,13,"""""",overworld_stairs,Lotor's Castle Arena Basement,Lotor's Castle Arena Basement,"""""",Krythan,Lotor's Castle,"{""x"":213,""y"":1183}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,15,"""""",overworld_stairs,Cultist Lair Crypt,Cultist Lair Crypt,"""""",Silvest Valley,Cultist Lair Crypt,"{""x"":871,""y"":1392}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,16,"""""",overworld_snake,Snake Pit,Snake Pit,"""""",Silvest Valley,Silvest Valley,"{""x"":966,""y"":1347}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,17,"""""",overworld_mine,Cliffside Mines,Cliffside Mines,"""""",Silvest Valley,Cliffside Pass,"{""x"":1097,""y"":1183}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,21,"""""",overworld_cave,Sozal's Cave North Entrance,Sozal's Cave North Entrance,"""""",Silvest Valley,Sozal's Cave,"{""x"":1126,""y"":1155}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,23,"""""",overworld_cave,Sozal's Cave,Sozal's Cave,"""""",Silvest Valley,Near Silvest Valley North Coast,"{""x"":1162,""y"":1176}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,27,"""""",overworld_ladder,Gideon's Trapdoor,Gideon's Trapdoor,"""""",Krythan,Monk Island,"{""x"":509,""y"":583}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,28,"""""",overworld_ladder,Gideon's Trapdoor,Mirthik's  Passage,"""""",Krythan,Mirthik's  Passage,"{""x"":509,""y"":608}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,29,"""""",overworld_ladder,Mirthik's Passage Entrance,Mirthik's Passage Entrance,"""""",Krythan,Monk Island,"{""x"":504,""y"":643}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,30,"""""",overworld_snake,Snake pit,Snake pit,"""""",Krythan,Krythan Fields,"{""x"":326,""y"":741}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,33,"""""",overworld_stairs,Trap Door to LSP,Trap Door to LSP,"""""",Krythan,Krythan Fields,"{""x"":780,""y"":862}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,34,"""""",overworld_ladder,Ladder to LSP Sewer (Away from evil spawn gate),Ladder to LSP Sewer (Away from evil spawn gate),"""""",Krythan,Krythan Fields,"{""x"":790,""y"":917}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,35,"""""",overworld_ladder,Orc Fort Tunnels,Orc Fort Tunnels,"""""",Krythan,Krythan Fields,"{""x"":793,""y"":1575}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,36,"""""",overworld_ladder,Orc Fort Tunnels,Orc Fort Tunnels,"""""",Krythan,Krythan Fields,"{""x"":754,""y"":1539}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,37,"""""",overworld_dungeon,Talazarian Dungeon,Talazarian Dungeon,"""""",Krythan,Krythan Fields,"{""x"":362,""y"":1464}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,38,"""""",overworld_ladder,Krythan Swamp Backdoor,Krythan Swamp Backdoor,"""""",Krythan,South West Krythan,"{""x"":146,""y"":1615}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,39,"""""",overworld_ladder,Krythan Swamp Backdoor,Krythan Swamp Backdoor,"""""",Krythan,Krythan Swamp,"{""x"":120,""y"":1641}","""""",underground,"{""x"":0,""y"":0}",""""""
js/markers.js,undergrounds,40,"""""",overworld_crypt,Lopal Crypt,Lopal Crypt,"""""",Western Isles,Scarab Island,"{""x"":272,""y"":2201}","""""",underground,"{""x"":0,""y"":0}",""""""
