file,group,index,id,type,title,tooltip,text,region,place,coordinates,image,switchTo,flyTo,flyToId
js/markers.js,portals,0,"""""",overworld_portal_lsp,Portal to Lotor's Summer Palace,Portal to Lotor's Summer Palace,"""""",Western Isles,Party Island,"{""x"":439,""y"":119}",images/markers/Party_Island_to_LSP_Portal.png,"""""","""""",""""""
js/markers.js,portals,1,"""""",overworld_portal_lsp,Portal to Leave Valinor,Portal to Leave Valinor,"""""",Valinor,Valinor,"{""x"":775,""y"":99}",images/markers/Valinor_to_Leave_Valinor_Portal.png,"""""","""""",""""""
js/markers.js,portals,2,"""""",overworld_portal_small,Portal to Arena Viewing Area,Portal to Arena Viewing Area,"""""",Valinor,Valinor,"{""x"":775,""y"":167}",images/markers/Valinor_to_Arena_Viewing_Area_Portal.png,"""""","""""",""""""
js/markers.js,portals,3,"""""",overworld_portal_lsp,Portal to Lotor's Summer Palace,Portal to Lotor's Summer Palace,"""""",Silvest Valley,Silvest,"{""x"":999,""y"":1337}",images/portals/Lotors_Summer_Palace_Portal.png,"""""","""""",""""""
js/markers.js,portals,4,"""""",overworld_portal_small,Portal to Lotor's Jail,Portal to Lotor's Jail,"""""",Krythan,Lotor's Castle,"{""x"":263,""y"":1181}",images/portals/Lotors_Jail_Portal.png,"""""","""""",""""""
js/markers.js,portals,5,"""""",overworld_portal_small,Portal to Outside Lotor's Castle,Portal to Outside Lotor's Castle,"""""",Krythan,Lotor's Castle,"{""x"":232,""y"":1161}",images/portals/Lotors_Jail_Portal.png,"""""","""""",""""""
js/markers.js,portals,6,"""""",overworld_portal_small,Portal to Outside Lotor's Prison,Portal to Outside Lotor's Prison,"""""",Krythan,Lotor's Castle,"{""x"":235,""y"":1150}",images/portals/Lotors_Prison_Portal.png,"""""","""""",""""""
js/markers.js,portals,7,"""""",overworld_portal_blue,Portal to Highlands West of Parian,Portal to Highlands West of Parian,"""""",Krythan,Krythan Fields,"{""x"":584,""y"":1496}",images/markers/Krythan_to_Highlands_West_of_Parian_Portal.png,"""""","""""",""""""
js/markers.js,portals,8,"""""",overworld_portal_blue,Portal to Darkwoods North of Josody,Portal to Darkwoods North of Josody,"""""",Krythan,Krythan Fields,"{""x"":184,""y"":1465}",images/markers/Krythan_to_Darkwoods_North_of_Josody_Portal.png,"""""","""""",""""""
js/markers.js,portals,9,"""""",overworld_portal_small,Portal to Hell,Portal to Hell,"""""",Krythan,Krythan Fields,"{""x"":472,""y"":1895}",images/markers/Krythan_to_Hell_Portal.png,"""""","""""",""""""
js/markers.js,portals,10,"""""",overworld_portal_small,Portal to Scarab Island,Portal to Scarab Island,"""""",Krythan,Krythan Fields,"{""x"":712,""y"":1752}",images/markers/Krythan_to_Scarab_Island_Portal.png,"""""","""""",""""""
js/markers.js,portals,11,"""""",overworld_portal_small,Portal to Krythan Region,Portal to Krythan Region,"""""",Western Isles,Scarab Island,"{""x"":472,""y"":2183}",images/markers/Scarab_Island_to_Krythan_Region_Portal.png,"""""","""""",""""""
js/markers.js,portals,12,"""""",overworld_portal_blue,Portal to Krythan Island (West of New Korelth),Portal to Krythan Island (West of New Korelth),"""""",Darkwoods,Darkwoods,"{""x"":1351,""y"":2439}",images/markers/Darkwoods_to_Krythan_Island_West_of_New_Korelth_Portal.png,"""""","""""",""""""
js/markers.js,portals,13,"""""",overworld_portal_lsp,Portal to Lotor's Summer Palace,Portal to Lotor's Summer Palace,"""""",Darkwoods,Josody,"{""x"":1254,""y"":2518}",images/markers/Darkwoods_to_LSP_Portal.png,"""""","""""",""""""
js/markers.js,portals,14,"""""",overworld_portal_blue,Portal to Highlands (Southeast of Parian),Portal to Highlands (Southeast of Parian),"""""",Darkwoods,Darkwoods,"{""x"":808,""y"":2838}",images/markers/Darkwoods_to_Highlands_Southeast_of_Parian_Portal.png,"""""","""""",""""""
js/markers.js,portals,15,"""""",overworld_portal_small,Portal to Mnemmon,Portal to Mnemmon,"""""",Darkwoods,Mnemmon Gaol,"{""x"":867,""y"":3417}",images/markers/Darkwoods_to_Mnemmon_Portal.png,"""""","""""",""""""
js/markers.js,portals,16,"""""",overworld_portal_small,Portal to Mnemmon Gaol,Portal to Mnemmon Gaol,"""""",Darkwoods,Mnemmon,"{""x"":909,""y"":3259}",images/markers/Darkwoods_to_Mnemmon_Gaol_Portal.png,"""""","""""",""""""
js/markers.js,portals,17,"""""",overworld_portal_lsp,Portal to Lotor's Summer Palace,Portal to Lotor's Summer Palace,"""""",Darkwoods,Whisperdale,"{""x"":472,""y"":3481}",images/markers/Darkwoods_to_LSP_Portal.png,"""""","""""",""""""
js/markers.js,portals,18,"""""",overworld_portal_small,Portal to Scorched Island,Portal to Scorched Island,"""""",Battle Plains,Battle Plains,"{""x"":1600,""y"":3077}",images/markers/Scorched_Island_to_Battle_Plains_Portal.png,"""""","""""",""""""
js/markers.js,portals,19,"""""",overworld_portal_lsp,Portal to Proudblood Valley,Portal to Proudblood Valley,"""""",Battle Plains,Battle Plains,"{""x"":2263,""y"":3705}",images/markers/Scorched_Island_to_Proudblood_Valley_Portal.png,"""""","""""",""""""
js/markers.js,portals,20,"""""",overworld_portal_small,Exit Proudblood Valley,Exit Proudblood Valley,"""""",Battle Plains,Proudblood Valley,"{""x"":1963,""y"":3651}",images/markers/Exit_Proudblood_Valley_Portal.png,"""""","""""",""""""
js/markers.js,portals,21,"""""",overworld_portal_lsp,Portal to Lotor's Summer Palace,Portal to Lotor's Summer Palace,"""""",Black Swamp,Krog,"{""x"":3110,""y"":3686}",images/markers/Black_Swamp_to_LSP_Portal.png,"""""","""""",""""""
js/markers.js,portals,22,"""""",overworld_portal_small,Portal to Minotaur Island,Portal to Minotaur Island,"""""",Highlands,Ancient Site of Minos,"{""x"":2935,""y"":3191}",images/markers/Minotaur_Island_Portal.png,"""""","""""",""""""
js/markers.js,portals,23,"""""",overworld_portal_small,Portal to Southern Highlands (Northeast of Grell),Portal to Southern Highlands (Northeast of Grell),"""""",Highlands,Highlands,"{""x"":3335,""y"":2808}",images/markers/Highlands_to_Southern_Highlands_Northeast_of_Grell_Portal.png,"""""","""""",""""""
js/markers.js,portals,24,"""""",overworld_portal_small,Portal to Highlands (North of Parian),Portal to Highlands (North of Parian),"""""",Highlands,Highlands,"{""x"":3081,""y"":3548}",images/markers/Highlands_to_Highlands_North_of_Parian_Portal.png,"""""","""""",""""""
js/markers.js,portals,25,"""""",overworld_portal_blue,Portal to Darkwoods (East of Redwake),Portal to Darkwoods (East of Redwake),"""""",Highlands,Highlands,"{""x"":3768,""y"":3239}",images/markers/Darkwoods_to_Highlands_East_of_Redwake_Portal.png,"""""","""""",""""""
js/markers.js,portals,26,"""""",overworld_portal_blue,Portal to Krythan Island (West of New Korelth),Portal to Krythan Island (West of New Korelth),"""""",Highlands,Highlands,"{""x"":3304,""y"":3015}",images/markers/Krythan_to_Scarab_Island_Portal.png,"""""","""""",""""""
js/markers.js,portals,27,"""""",overworld_portal_lsp,Portal to Lotor's Summer Palace,Portal to Lotor's Summer Palace,"""""",Highlands,Parian,"{""x"":3415,""y"":2919}",images/markers/Parian_to_LSP_Portal.png,"""""","""""",""""""
js/markers.js,portals,38,"""""",overworld_portal_lsp,Portal to Lotor's Summer Palace,Portal to Lotor's Summer Palace,"""""",Krythan,Real Estate Island,"{""x"":662,""y"":731}",images/markers/Real_Estate_Island_to_LSP_Portal.png,"""""","""""",""""""
js/markers.js,portals,39,"""""",overworld_portal_blue,Portal to Ancient Site of Minos,Portal to Ancient Site of Minos,"""""",Western Isles,Minotaur Island,"{""x"":136,""y"":247}",images/markers/Minotaur_Island_to_Ancient_Site_of_Minos_Portal.png,"""""","""""",""""""
js/markers.js,portals,40,"""""",overworld_portal_small,Portal to Battle Plains,Portal to Battle Plains,"""""",Western Isles,Scorched Island,"{""x"":630,""y"":2101}",images/markers/Scorched_Island_to_Battle_Plains_Portal.png,"""""","""""",""""""
js/markers.js,portals,41,"""""",overworld_portal_small,Portal to Hell,Portal to Hell,"""""",Western Isles,Scorched Island,"{""x"":719,""y"":1963}",images/markers/Scorched_Island_to_Hell_Portal.png,"""""","""""",""""""
