file,group,index,id,type,title,tooltip,text,region,place,coordinates,image,switchTo,flyTo,flyToId
js/markers.js,portals,0,"""""",overworld_portal_lsp,Portal to Lotor's Summer Palace,Portal to Lotor's Summer Palace,"""""",Western Isles,Party Island,"{""x"":439,""y"":119}","""""","""""","""""",""""""
js/markers.js,portals,1,"""""",overworld_portal_lsp,Portal to Leave Valinor,Portal to Leave Valinor,"""""",Valinor,Valinor,"{""x"":775,""y"":99}","""""","""""","""""",""""""
js/markers.js,portals,2,"""""",overworld_portal_small,Portal to Arena Viewing Area,Portal to Arena Viewing Area,"""""",Valinor,Valinor,"{""x"":775,""y"":167}","""""","""""","""""",""""""
js/markers.js,portals,3,"""""",overworld_portal_lsp,Portal to Lotor's Summer Palace,Portal to Lotor's Summer Palace,"""""",Silvest Valley,Silvest,"{""x"":999,""y"":1337}","""""","""""","""""",""""""
js/markers.js,portals,4,"""""",overworld_portal_small,Portal to Lotor's Jail,Portal to Lotor's Jail,"""""",Krythan,Lotor's Castle,"{""x"":263,""y"":1181}","""""","""""","""""",""""""
js/markers.js,portals,5,"""""",overworld_portal_small,Portal to Outside Lotor's Castle,Portal to Outside Lotor's Castle,"""""",Krythan,Lotor's Castle,"{""x"":232,""y"":1161}","""""","""""","""""",""""""
js/markers.js,portals,6,"""""",overworld_portal_small,Portal to Outside Lotor's Prison,Portal to Outside Lotor's Prison,"""""",Krythan,Lotor's Castle,"{""x"":235,""y"":1150}","""""","""""","""""",""""""
js/markers.js,portals,7,"""""",overworld_portal_blue,Portal to Highlands West of Parian,Portal to Highlands West of Parian,"""""",Krythan,Krythan Fields,"{""x"":584,""y"":1496}","""""","""""","""""",""""""
js/markers.js,portals,8,"""""",overworld_portal_blue,Portal to Darkwoods North of Josody,Portal to Darkwoods North of Josody,"""""",Krythan,Krythan Fields,"{""x"":184,""y"":1465}","""""","""""","""""",""""""
js/markers.js,portals,9,"""""",overworld_portal_small,Portal to Hell,Portal to Hell,"""""",Krythan,Krythan Fields,"{""x"":472,""y"":1895}","""""","""""","""""",""""""
js/markers.js,portals,10,"""""",overworld_portal_small,Portal to Scarab Island,Portal to Scarab Island,"""""",Krythan,Krythan Fields,"{""x"":712,""y"":1752}","""""","""""","""""",""""""
js/markers.js,portals,11,"""""",overworld_portal_small,Portal to Krythan Region,Portal to Krythan Region,"""""",Western Isles,Scarab Island,"{""x"":472,""y"":2183}","""""","""""","""""",""""""
js/markers.js,portals,12,"""""",overworld_portal_blue,Portal to Krythan Island (West of New Korelth),Portal to Krythan Island (West of New Korelth),"""""",Darkwoods,Darkwoods,"{""x"":1351,""y"":2439}","""""","""""","""""",""""""
js/markers.js,portals,13,"""""",overworld_portal_lsp,Portal to Lotor's Summer Palace,Portal to Lotor's Summer Palace,"""""",Darkwoods,Josody,"{""x"":1254,""y"":2518}","""""","""""","""""",""""""
js/markers.js,portals,14,"""""",overworld_portal_blue,Portal to Highlands (Southeast of Parian),Portal to Highlands (Southeast of Parian),"""""",Darkwoods,Darkwoods,"{""x"":808,""y"":2838}","""""","""""","""""",""""""
